Category,File,Status,LOC_Added,LOC_Deleted,LOC_Net,Functions,Tests,Assertions,Purpose
Production,analytics/indexer/file_processing.py,A,259,0,259,4,0,0,File processor with error structuring
Production,analytics/indexer/validators.py,A,96,0,96,2,0,0,Token validation logic
Production,analytics/indexer/bulk_loader.py,M,71,0,71,2,0,0,Race condition handling
Production,analytics/db.py,M,42,0,42,3,0,0,Database enhancements
Production,analytics/indexer/parsers.py,M,99,4,95,9,0,0,Error data structuring
Production,analytics/indexer/queries.py,M,23,11,12,0,0,0,Query optimizations
Production,analytics/indexer/hybrid.py,M,22,0,22,6,0,0,Hybrid loader improvements
Production,analytics/indexer/handlers.py,M,3,2,1,4,0,0,Minor handler updates
Migration,analytics/migrations/001_add_error_data_json.py,A,252,0,252,7,0,0,JSON migration with validation
Migration,analytics/migrations/002_add_composite_indexes.sql,A,90,0,90,0,0,0,5 composite indexes
Migration,analytics/migrations/README.md,A,122,0,122,0,0,0,Migration guide
Migration,analytics/migrations/__init__.py,A,3,0,3,0,0,0,Package init
Test,tests/test_root_trace_tokens.py,A,513,0,513,0,9,30,Root token calculation tests
Test,tests/test_race_conditions.py,A,279,0,279,0,15,35,Bulk/real-time concurrency tests
Test,tests/test_trace_builder_tokens.py,M,4,0,4,0,14,32,Token builder tests
Script,scripts/analyze_indexes.py,A,255,0,255,0,0,0,Index performance analysis
Script,scripts/test_error_data_json.py,A,282,0,282,0,0,0,Error data validation
Script,scripts/backfill_root_trace_tokens.py,A,211,0,211,0,0,0,Token recalculation
Documentation,BENCHMARK-DQ-004.md,A,165,0,165,0,0,0,DQ-004 benchmark results
Documentation,DQ-001-FIX-SUMMARY.md,A,209,0,209,0,0,0,DQ-001 completion summary
Documentation,DQ-003-COMPLETION.md,A,215,0,215,0,0,0,DQ-003 completion summary
Documentation,DQ-005-COMPLETION.md,A,314,0,314,0,0,0,DQ-005 completion summary
Documentation,docs/plans/plan-47-data-quality-improvement.md,A,2001,0,2001,0,0,0,Plan 47: Data Quality master plan
Documentation,docs/schemas/database-indexes.md,A,310,0,310,0,0,0,Database indexes documentation
Documentation,docs/sprints/2026-01-data-quality-sprint0.md,A,465,0,465,0,0,0,Sprint 0 planning
Documentation,docs/sprints/2026-01-data-quality-sprint1.md,A,529,0,529,0,0,0,Sprint 1 planning
Documentation,docs/sprints/2026-01-data-quality-sprint2.md,A,647,0,647,0,0,0,Sprint 2 planning
Documentation,docs/sprints/2026-01-data-quality-sprint3.md,A,796,0,796,0,0,0,Sprint 3 planning
Documentation,docs/sprints/README.md,M,15,6,9,0,0,0,Sprint README updates
